"TIME","R2(1)","Vramp"
0,5,-2
0.1312,5,-1.6064
0.5712,5,-0.2864
0.7712,5,0.3136
0.8112,4.9996,0.4336
0.8512,4.97479,0.5536
0.8821734821,4.87337,0.64652
0.9035218096,4.77576,0.710565
0.9169460814,4.70928,0.750838
0.929430352,4.64527,0.788291
0.9482901025,4.54585,0.84487
0.9860096035,4.34077,0.958029
0.9989442726,4.26919,0.996833
1.006348388,4.99999,-1.98095
1.225911443,5,-1.32227
1.665911443,5,-0.00226567
1.785911443,4.99998,0.357734
1.825911443,4.99789,0.477734
1.865911443,4.9355,0.597734
1.889052859,4.84342,0.667159
1.91335971,4.72731,0.740079
1.928468504,4.65026,0.785406
1.943748589,4.57003,0.831246
1.971444193,4.42071,0.914333
1.984840891,4.34692,0.954523
1.997892336,4.27503,0.993677
2,4.99998,-2
